2012/05/18	A05	2360
2012/05/18	A05	6200
2012/05/18	A02	640
2012/05/18	A03	135
2012/05/18	B02	3262
2012/05/18	A02	405
2012/05/18	A01	3360
2012/05/18	A04	1841
2012/05/18	B01	1720
2012/05/18	B01	335
2012/05/18	B02	5600
2012/05/18	A05	16000
2012/05/18	A01	563
2012/05/18	A02	1411
2012/05/18	A02	415
2012/05/18	B01	8700
2012/05/19	A02	1840
2012/05/19	B01	3108
2012/05/19	B01	3214
2012/05/19	A03	190
2012/05/19	A01	11900
2012/05/20	B02	15000
2012/05/20	B01	165
2012/05/20	A05	250
2012/05/20	B01	7500
2012/05/20	B01	1498
2012/05/20	A05	763
2012/05/20	A05	90
2012/05/20	B02	130
2012/05/20	B01	2280
2012/05/21	A02	3040
2012/05/21	A05	449
2012/05/21	B01	15800
2012/05/21	A05	1657
2012/05/21	A02	2476
2012/05/21	B02	200
2012/05/21	B02	3176
2012/05/21	A03	3480
2012/05/21	A05	640
2012/05/21	A02	3800
2012/05/22	B01	16500
2012/05/22	A01	447
2012/05/22	B02	294
2012/05/22	B01	840
2012/05/22	B02	485
2012/05/22	B02	1317
2012/05/22	B01	2608
2012/05/22	B01	800
2012/05/22	A02	18700
2012/05/22	A05	1402
2012/05/22	A05	135
2012/05/22	B02	2013
2012/05/22	B02	338
2012/05/22	B01	2683
2012/05/22	A05	320
2012/05/22	A01	7000
2012/05/22	A05	480
2012/05/22	A02	3087
2012/05/22	B02	235
2012/05/22	A03	18900
2012/05/22	A03	19700
2012/05/22	A05	210
2012/05/22	A05	2480
2012/05/22	A05	448
2012/05/22	B02	13900
2012/05/22	A05	140
2012/05/22	A02	1640
2012/05/22	A03	2665
2012/05/22	B02	730
2012/05/22	B02	2040
2012/05/22	A02	18600
2012/05/22	B02	2040
2012/05/22	A02	100
2012/05/22	A05	110
2012/05/22	B02	1000
2012/05/23	A05	75
2012/05/23	A05	1352
2012/05/23	B02	3218
2012/05/23	A05	1289
2012/05/24	A03	3410
2012/05/24	A02	2160
2012/05/24	B01	760
2012/05/24	B02	3100
2012/05/24	B02	3560
2012/05/24	B02	4100
2012/05/24	A05	2982
2012/05/24	A04	1481
2012/05/24	A05	1960
2012/05/24	B02	200
2012/05/24	A04	8300
2012/05/24	B01	2000
2012/05/24	B01	1481
2012/05/24	B02	18500
2012/05/24	B02	2931
2012/05/25	A04	5900
2012/05/25	A02	100
2012/05/25	B01	17900
2012/05/25	A02	355
2012/05/25	B02	170
2012/05/25	B02	3640
2012/05/25	A02	459
2012/05/25	A02	480
2012/05/25	A05	3045
2012/05/25	A03	282
2012/05/25	A05	240
2012/05/25	B02	2080
2012/05/25	A02	10100
2012/05/25	A05	2800
2012/05/25	A02	2720
2012/05/25	A04	3480
2012/05/25	A05	240
